Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
11.600, 100.000, 100.000, 31.922, 2.879, 32.923, 21.381, 31.684
11.700, 100.000, 100.000, 31.886, 2.864, 32.871, 21.349, 31.647
11.800, 100.000, 100.000, 31.821, 2.842, 32.839, 21.316, 31.610
11.900, 100.000, 100.000, 31.767, 2.825, 32.818, 21.282, 31.589
12.000, 100.000, 100.000, 31.732, 2.801, 32.782, 21.249, 31.544
12.100, 100.000, 100.000, 31.690, 2.788, 32.761, 21.218, 31.507
12.200, 100.000, 100.000, 31.624, 2.772, 32.719, 21.186, 31.466
12.300, 100.000, 100.000, 31.547, 2.752, 32.677, 21.155, 31.425
12.400, 100.000, 100.000, 31.511, 2.735, 32.656, 21.127, 31.388
12.500, 100.000, 100.000, 31.446, 2.718, 32.593, 21.100, 31.340
12.600, 100.000, 100.000, 31.416, 2.704, 32.551, 21.068, 31.305
12.700, 100.000, 100.000, 31.374, 2.685, 32.520, 21.039, 31.270
12.800, 100.000, 100.000, 31.333, 2.668, 32.472, 21.013, 31.233
12.900, 100.000, 100.000, 31.285, 2.654, 32.431, 20.985, 31.196
13.000, 100.000, 100.000, 31.231, 2.640, 32.389, 20.961, 31.165
13.100, 100.000, 100.000, 31.160, 2.620, 32.347, 20.935, 31.126
13.200, 100.000, 100.000, 31.124, 2.599, 32.305, 20.909, 31.095
13.300, 100.000, 100.000, 31.083, 2.583, 32.268, 20.883, 31.054
13.400, 100.000, 100.000, 31.053, 2.571, 32.247, 20.857, 31.029
13.500, 100.000, 100.000, 31.011, 2.556, 32.221, 20.831, 31.000
13.600, 100.000, 100.000, 30.969, 2.537, 32.174, 20.807, 30.971
13.700, 100.000, 100.000, 30.940, 2.523, 32.142, 20.782, 30.938
13.800, 100.000, 100.000, 30.904, 2.510, 32.095, 20.757, 30.901
13.900, 100.000, 100.000, 30.844, 2.497, 32.059, 20.734, 30.866
14.000, 100.000, 100.000, 30.797, 2.484, 32.017, 20.710, 30.833
14.100, 100.000, 100.000, 30.773, 2.471, 31.991, 20.686, 30.804
14.200, 100.000, 100.000, 30.695, 2.455, 31.970, 20.663, 30.778
14.300, 100.000, 100.000, 30.660, 2.443, 31.943, 20.641, 30.743
14.400, 100.000, 100.000, 30.606, 2.431, 31.922, 20.617, 30.722
14.500, 100.000, 100.000, 30.564, 2.413, 31.881, 20.594, 30.689
14.600, 100.000, 100.000, 30.547, 2.393, 31.844, 20.571, 30.662
14.700, 100.000, 100.000, 30.505, 2.379, 31.823, 20.548, 30.635
14.800, 100.000, 100.000, 30.499, 2.366, 31.807, 20.524, 30.605
14.900, 100.000, 100.000, 30.457, 2.354, 31.786, 20.502, 30.580
15.000, 100.000, 100.000, 30.422, 2.339, 31.771, 20.480, 30.565
15.100, 100.000, 100.000, 30.374, 2.326, 31.750, 20.460, 30.526
15.200, 100.000, 100.000, 30.314, 2.310, 31.723, 20.435, 30.487
15.300, 100.000, 100.000, 30.273, 2.297, 31.697, 20.414, 30.462
15.400, 100.000, 100.000, 30.219, 2.281, 31.682, 20.392, 30.442
15.500, 100.000, 100.000, 30.189, 2.265, 31.645, 20.373, 30.419
15.600, 100.000, 100.000, 30.136, 2.254, 31.624, 20.350, 30.386
15.700, 100.000, 100.000, 30.106, 2.241, 31.613, 20.328, 30.366
15.800, 100.000, 100.000, 30.088, 2.231, 31.587, 20.307, 30.341
15.900, 100.000, 100.000, 30.023, 2.219, 31.572, 20.286, 30.318
16.000, 100.000, 100.000, 29.999, 2.204, 31.545, 20.265, 30.291
16.100, 100.000, 100.000, 29.951, 2.190, 31.514, 20.245, 30.250
16.200, 100.000, 100.000, 29.927, 2.177, 31.498, 20.224, 30.230
16.300, 100.000, 100.000, 29.880, 2.167, 31.472, 20.205, 30.203
16.400, 100.000, 100.000, 29.826, 2.155, 31.456, 20.184, 30.164
16.500, 100.000, 100.000, 29.802, 2.145, 31.441, 20.164, 30.147
16.600, 100.000, 100.000, 29.778, 2.136, 31.409, 20.145, 30.116
16.700, 100.000, 100.000, 29.761, 2.128, 31.383, 20.126, 30.094
16.800, 100.000, 100.000, 29.731, 2.120, 31.357, 20.106, 30.059
16.900, 100.000, 100.000, 29.719, 2.105, 31.331, 20.084, 30.032
17.000, 100.000, 100.000, 29.677, 2.092, 31.315, 20.066, 30.007
17.100, 100.000, 100.000, 29.636, 2.080, 31.289, 20.046, 29.980
17.200, 100.000, 100.000, 29.594, 2.068, 31.252, 20.028, 29.939
17.300, 100.000, 100.000, 29.558, 2.059, 31.241, 20.009, 29.923
17.400, 100.000, 100.000, 29.511, 2.045, 31.215, 19.991, 29.877
17.500, 100.000, 100.000, 29.445, 2.031, 31.210, 19.972, 29.855
17.600, 100.000, 100.000, 29.421, 2.023, 31.184, 19.953, 29.824
17.700, 100.000, 100.000, 29.403, 2.013, 31.147, 19.936, 29.789
17.800, 100.000, 100.000, 29.374, 2.001, 31.126, 19.917, 29.762
17.900, 100.000, 100.000, 29.356, 1.993, 31.090, 19.898, 29.729
18.000, 100.000, 100.000, 29.326, 1.979, 31.063, 19.880, 29.679
18.100, 100.000, 100.000, 29.296, 1.969, 31.048, 19.863, 29.644
18.200, 100.000, 100.000, 29.260, 1.959, 31.027, 19.845, 29.597
18.300, 100.000, 100.000, 29.225, 1.953, 31.001, 19.830, 29.566
18.400, 100.000, 100.000, 29.195, 1.941, 30.927, 19.812, 29.504
18.500, 100.000, 100.000, 29.141, 1.932, 30.875, 19.795, 29.467
18.600, 100.000, 100.000, 29.118, 1.921, 30.822, 19.777, 29.436
18.700, 100.000, 100.000, 29.070, 1.911, 30.781, 19.759, 29.393
18.800, 100.000, 100.000, 29.040, 1.899, 30.733, 19.743, 29.339
18.900, 100.000, 100.000, 29.016, 1.887, 30.686, 19.726, 29.304
19.000, 100.000, 100.000, 28.987, 1.879, 30.644, 19.709, 29.267
19.100, 100.000, 100.000, 28.975, 1.871, 30.602, 19.692, 29.234
19.200, 100.000, 100.000, 28.945, 1.860, 30.576, 19.673, 29.203
19.300, 100.000, 100.000, 28.933, 1.850, 30.503, 19.658, 29.148
19.400, 100.000, 100.000, 28.909, 1.839, 30.445, 19.641, 29.107
19.500, 100.000, 100.000, 28.897, 1.832, 30.430, 19.625, 29.074
19.600, 100.000, 100.000, 28.861, 1.822, 30.388, 19.609, 29.022
19.700, 100.000, 100.000, 28.814, 1.809, 30.361, 19.593, 28.987
19.800, 100.000, 100.000, 28.790, 1.804, 30.320, 19.576, 28.948
19.900, 100.000, 100.000, 28.760, 1.797, 30.299, 19.561, 28.898
20.000, 100.000, 100.000, 28.742, 1.787, 30.241, 19.543, 28.857
20.100, 100.000, 100.000, 28.707, 1.781, 30.204, 19.528, 28.806
20.200, 100.000, 100.000, 28.671, 1.770, 30.168, 19.511, 28.762
20.300, 100.000, 100.000, 28.641, 1.760, 30.136, 19.494, 28.721
20.400, 100.000, 100.000, 28.611, 1.749, 30.094, 19.479, 28.674
20.500, 100.000, 100.000, 28.588, 1.738, 30.021, 19.463, 28.602
20.600, 100.000, 100.000, 28.546, 1.729, 29.990, 19.448, 28.530
20.700, 100.000, 100.000, 28.522, 1.724, 29.974, 19.432, 28.443
20.800, 100.000, 100.000, 28.498, 1.715, 29.937, 19.417, 28.348
20.900, 100.000, 100.000, 28.474, 1.705, 29.843, 19.402, 28.227
21.000, 100.000, 100.000, 28.415, 1.696, 29.764, 19.385, 28.124
21.100, 100.000, 100.000, 28.391, 1.689, 29.686, 19.369, 27.988
21.200, 100.000, 100.000, 28.332, 1.682, 29.581, 19.354, 27.854
21.300, 100.000, 100.000, 28.302, 1.673, 29.413, 19.337, 27.693
21.400, 100.000, 100.000, 28.266, 1.664, 29.251, 19.320, 27.499
21.500, 100.000, 100.000, 28.242, 1.657, 29.104, 19.302, 27.324
21.600, 100.000, 100.000, 28.224, 1.649, 28.963, 19.286, 27.096
21.700, 100.000, 100.000, 28.201, 1.638, 28.769, 19.267, 26.819
21.800, 100.000, 100.000, 28.183, 1.629, 28.528, 19.248, 26.521
21.900, 100.000, 100.000, 28.147, 1.623, 28.318, 19.229, 26.220
22.000, 100.000, 100.000, 28.123, 1.614, 28.072, 19.209, 25.919
22.100, 100.000, 100.000, 28.099, 1.607, 27.805, 19.191, 25.614
22.200, 100.000, 100.000, 28.070, 1.596, 27.491, 19.171, 25.274
22.300, 100.000, 100.000, 28.034, 1.585, 27.082, 19.152, 24.928
22.400, 100.000, 100.000, 28.028, 1.576, 26.710, 19.132, 24.588
22.500, 100.000, 100.000, 27.992, 1.570, 26.359, 19.112, 24.233
22.600, 100.000, 100.000, 27.962, 1.562, 25.982, 19.093, 23.898
22.700, 100.000, 100.000, 27.939, 1.555, 25.626, 19.072, 23.570
22.800, 100.000, 100.000, 27.909, 1.546, 25.228, 19.053, 23.214
22.900, 100.000, 100.000, 27.879, 1.539, 24.851, 19.033, 22.921
23.000, 100.000, 100.000, 27.873, 1.529, 24.494, 19.013, 22.604
23.100, 100.000, 100.000, 27.861, 1.524, 24.144, 18.995, 22.307
23.200, 100.000, 100.000, 27.831, 1.515, 23.819, 18.974, 22.064
23.300, 100.000, 100.000, 27.808, 1.509, 23.489, 18.955, 21.800
23.400, 100.000, 100.000, 27.778, 1.502, 23.195, 18.936, 21.582
23.500, 100.000, 100.000, 27.742, 1.494, 22.871, 18.917, 21.345
23.600, 100.000, 100.000, 27.706, 1.485, 22.614, 18.895, 21.122
23.700, 100.000, 100.000, 27.677, 1.478, 22.352, 18.876, 20.945
23.800, 100.000, 100.000, 27.671, 1.471, 22.111, 18.856, 20.745
23.900, 100.000, 100.000, 27.653, 1.464, 21.833, 18.837, 20.535
24.000, 100.000, 100.000, 27.641, 1.458, 21.624, 18.817, 20.360
24.100, 100.000, 100.000, 27.599, 1.454, 21.414, 18.799, 20.205
24.200, 100.000, 100.000, 27.575, 1.445, 21.189, 18.780, 20.030
24.300, 100.000, 100.000, 27.546, 1.438, 20.985, 18.757, 19.888
24.400, 100.000, 100.000, 27.522, 1.432, 20.796, 18.738, 19.713
24.500, 100.000, 100.000, 27.504, 1.423, 20.623, 18.719, 19.573
24.600, 100.000, 100.000, 27.468, 1.418, 20.466, 18.700, 19.447
24.700, 100.000, 100.000, 27.450, 1.415, 20.288, 18.682, 19.284
24.800, 100.000, 100.000, 27.391, 1.407, 20.136, 18.662, 19.146
24.900, 100.000, 100.000, 27.367, 1.400, 20.037, 18.646, 19.023
25.000, 100.000, 100.000, 27.343, 1.394, 19.859, 18.632, 18.874
25.100, 100.000, 100.000, 27.307, 1.388, 19.738, 18.618, 18.761
25.200, 100.000, 100.000, 27.307, 1.381, 19.607, 18.601, 18.635
25.300, 100.000, 100.000, 27.290, 1.374, 19.539, 18.586, 18.524
25.400, 100.000, 100.000, 27.260, 1.367, 19.382, 18.572, 18.371
25.500, 100.000, 100.000, 27.224, 1.362, 19.298, 18.557, 18.275
25.600, 100.000, 100.000, 27.200, 1.356, 19.209, 18.543, 18.192
25.700, 100.000, 100.000, 27.182, 1.347, 19.094, 18.529, 18.064
25.800, 100.000, 100.000, 27.153, 1.341, 19.015, 18.514, 17.947
25.900, 100.000, 100.000, 27.123, 1.333, 18.952, 18.500, 17.873
26.000, 100.000, 100.000, 27.087, 1.328, 18.863, 18.486, 17.768
26.100, 100.000, 100.000, 27.063, 1.322, 18.811, 18.471, 17.685
26.200, 100.000, 100.000, 27.039, 1.316, 18.706, 18.459, 17.568
26.300, 100.000, 100.000, 27.010, 1.309, 18.591, 18.445, 17.448
26.400, 100.000, 100.000, 26.974, 1.303, 18.518, 18.430, 17.364
26.500, 100.000, 100.000, 26.956, 1.295, 18.465, 18.416, 17.265
26.600, 100.000, 100.000, 26.944, 1.290, 18.360, 18.402, 17.182
26.700, 100.000, 100.000, 26.926, 1.278, 18.282, 18.389, 17.102
26.800, 100.000, 100.000, 26.920, 1.271, 18.224, 18.376, 17.022
26.900, 100.000, 100.000, 26.885, 1.265, 18.151, 18.362, 16.927
