Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
19.300, 100.000, 100.000, 29.683, 1.978, 32.085, 19.924, 30.567
19.400, 100.000, 100.000, 29.647, 1.971, 32.017, 19.911, 30.512
19.500, 100.000, 100.000, 29.618, 1.960, 32.001, 19.896, 30.483
19.600, 100.000, 100.000, 29.606, 1.946, 31.970, 19.881, 30.438
19.700, 100.000, 100.000, 29.564, 1.937, 31.943, 19.866, 30.411
19.800, 100.000, 100.000, 29.528, 1.929, 31.875, 19.852, 30.368
19.900, 100.000, 100.000, 29.499, 1.918, 31.786, 19.837, 30.293
20.000, 100.000, 100.000, 29.493, 1.904, 31.760, 19.822, 30.254
20.100, 100.000, 100.000, 29.481, 1.896, 31.739, 19.808, 30.223
20.200, 100.000, 100.000, 29.469, 1.887, 31.708, 19.793, 30.174
20.300, 100.000, 100.000, 29.451, 1.878, 31.624, 19.778, 30.108
20.400, 100.000, 100.000, 29.439, 1.871, 31.556, 19.764, 30.042
20.500, 100.000, 100.000, 29.391, 1.860, 31.519, 19.749, 29.951
20.600, 100.000, 100.000, 29.374, 1.848, 31.488, 19.736, 29.873
20.700, 100.000, 100.000, 29.326, 1.836, 31.409, 19.722, 29.758
20.800, 100.000, 100.000, 29.260, 1.820, 31.310, 19.708, 29.651
20.900, 100.000, 100.000, 29.225, 1.810, 31.194, 19.694, 29.535
21.000, 100.000, 100.000, 29.213, 1.801, 31.069, 19.680, 29.403
21.100, 100.000, 100.000, 29.165, 1.792, 30.932, 19.665, 29.267
21.200, 100.000, 100.000, 29.153, 1.787, 30.754, 19.651, 29.140
21.300, 100.000, 100.000, 29.141, 1.779, 30.566, 19.638, 29.001
21.400, 100.000, 100.000, 29.112, 1.770, 30.372, 19.623, 28.859
21.500, 100.000, 100.000, 29.082, 1.760, 30.115, 19.610, 28.680
21.600, 100.000, 100.000, 29.058, 1.748, 29.895, 19.596, 28.530
21.700, 100.000, 100.000, 29.004, 1.738, 29.670, 19.582, 28.359
21.800, 100.000, 100.000, 28.998, 1.729, 29.429, 19.566, 28.173
21.900, 100.000, 100.000, 28.981, 1.722, 29.141, 19.552, 27.920
22.000, 100.000, 100.000, 28.921, 1.715, 28.800, 19.536, 27.639
22.100, 100.000, 100.000, 28.867, 1.706, 28.444, 19.519, 27.341
