, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge
10.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 73.662, 74.540, 74.225, 74.756, 74.756, 74.756, 74.563, 75.082, 75.712, 79.897, 80.031, 80.673, 80.099, 80.099, 80.099, 80.402, 80.434, 81.120, 79.996, 81.205, 81.053, 80.989, 80.989, 80.989, 81.330, 80.988, 81.819, 26.537, 26.797, 32.408, 27.099, 27.099, 27.099, 22.437, 28.133, 28.524, 72.501, 72.831, 73.162, 71.571, 71.571, 71.571, 70.733, 70.014, 70.722, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
10.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 72.971, 73.778, 73.444, 74.057, 74.057, 74.057, 73.892, 74.429, 75.047, 79.566, 79.708, 80.378, 79.806, 79.806, 79.806, 80.124, 80.194, 80.726, 79.564, 80.777, 80.708, 80.603, 80.603, 80.603, 81.020, 80.549, 81.425, 25.615, 25.795, 31.469, 26.077, 26.077, 26.077, 21.469, 27.085, 27.347, 72.024, 72.370, 72.697, 71.059, 71.059, 71.059, 70.280, 69.502, 70.182, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
11.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 72.404, 73.280, 72.622, 73.563, 73.563, 73.563, 73.305, 73.845, 74.518, 79.221, 79.424, 79.877, 79.424, 79.424, 79.424, 79.871, 79.942, 80.357, 79.143, 80.419, 80.145, 80.260, 80.260, 80.260, 80.679, 80.158, 81.061, 24.684, 24.929, 30.615, 25.167, 25.167, 25.167, 20.605, 26.065, 26.456, 71.587, 71.933, 72.238, 70.559, 70.559, 70.559, 69.844, 68.993, 69.659, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
11.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 71.741, 72.671, 71.921, 72.836, 72.836, 72.836, 72.942, 73.098, 73.867, 78.983, 79.063, 79.247, 78.953, 78.953, 78.953, 79.276, 79.513, 79.914, 78.755, 80.045, 79.666, 79.843, 79.843, 79.843, 80.069, 79.745, 80.595, 23.770, 24.054, 29.740, 24.309, 24.309, 24.309, 19.718, 25.087, 25.606, 71.192, 71.547, 71.774, 70.087, 70.087, 70.087, 69.412, 68.501, 69.140, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
12.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 70.870, 72.020, 71.328, 72.122, 72.122, 72.122, 72.299, 72.473, 73.134, 78.771, 78.727, 78.592, 78.736, 78.736, 78.736, 78.669, 79.223, 79.594, 78.351, 79.692, 79.172, 79.557, 79.557, 79.557, 79.638, 79.437, 80.293, 22.812, 23.192, 28.794, 23.472, 23.472, 23.472, 18.908, 24.240, 24.714, 70.837, 71.190, 71.333, 69.656, 69.656, 69.656, 68.976, 68.053, 68.675, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
12.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 70.178, 71.286, 70.628, 71.478, 71.478, 71.478, 71.656, 71.848, 72.469, 78.334, 78.456, 77.988, 78.507, 78.507, 78.507, 78.176, 79.009, 79.372, 77.886, 79.366, 78.699, 79.246, 79.246, 79.246, 79.171, 79.118, 80.093, 22.041, 22.420, 27.876, 22.661, 22.661, 22.661, 18.071, 23.494, 23.897, 70.514, 70.858, 70.903, 69.257, 69.257, 69.257, 68.582, 67.641, 68.206, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
13.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 69.653, 70.677, 69.941, 70.956, 70.956, 70.956, 71.237, 71.250, 71.967, 77.990, 78.211, 77.641, 78.201, 78.201, 78.201, 77.834, 78.669, 79.077, 77.553, 79.109, 78.338, 78.881, 78.881, 78.881, 78.771, 78.763, 79.760, 21.208, 21.640, 27.096, 21.970, 21.970, 21.970, 17.462, 22.704, 23.183, 70.198, 70.551, 70.482, 68.867, 68.867, 68.867, 68.174, 67.228, 67.787, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
13.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 69.155, 70.151, 69.429, 70.517, 70.517, 70.517, 70.664, 70.679, 71.493, 77.712, 77.888, 77.319, 77.946, 77.946, 77.946, 77.518, 78.265, 78.695, 77.258, 78.799, 78.030, 78.501, 78.501, 78.501, 78.430, 78.366, 79.453, 20.459, 20.850, 26.358, 21.288, 21.288, 21.288, 16.771, 21.861, 22.461, 69.896, 70.237, 70.088, 68.493, 68.493, 68.493, 67.793, 66.822, 67.381, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
14.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 68.505, 69.639, 68.849, 69.859, 69.859, 69.859, 70.203, 70.136, 71.018, 77.328, 77.630, 77.037, 77.640, 77.640, 77.640, 77.214, 78.013, 78.363, 76.799, 78.430, 77.642, 78.089, 78.089, 78.089, 78.010, 77.975, 79.115, 19.773, 20.160, 25.616, 20.494, 20.494, 20.494, 16.097, 21.124, 21.759, 69.593, 69.940, 69.683, 68.138, 68.138, 68.138, 67.426, 66.428, 66.990, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
14.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 67.787, 69.043, 68.364, 69.186, 69.186, 69.186, 69.658, 69.524, 70.380, 76.559, 77.010, 76.690, 77.042, 77.042, 77.042, 76.961, 77.458, 77.945, 76.193, 77.901, 77.302, 77.555, 77.555, 77.555, 77.710, 77.457, 78.782, 19.033, 19.442, 24.941, 19.876, 19.876, 19.876, 15.488, 20.535, 20.987, 69.292, 69.641, 69.331, 67.804, 67.804, 67.804, 67.047, 66.047, 66.595, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
