, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge
2.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 44.898, 44.916, 46.600, 45.288, 45.288, 45.288, 44.156, 45.641, 45.713, 39.207, 39.941, 40.270, 40.415, 40.415, 40.415, 40.695, 40.870, 41.540, 41.289, 42.038, 42.289, 42.488, 42.488, 42.488, 42.839, 42.918, 43.672, 9.995, 9.924, 12.433, 10.284, 10.284, 10.284, 8.338, 10.732, 10.719, 29.414, 29.690, 30.795, 30.095, 30.095, 30.095, 29.299, 30.805, 30.958, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.100, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 44.779, 44.761, 46.456, 45.138, 45.138, 45.138, 44.054, 45.516, 45.605, 39.081, 39.821, 40.143, 40.301, 40.301, 40.301, 40.571, 40.750, 41.455, 41.179, 41.928, 42.153, 42.394, 42.394, 42.394, 42.708, 42.745, 43.573, 9.862, 9.802, 12.276, 10.147, 10.147, 10.147, 8.216, 10.597, 10.574, 29.289, 29.570, 30.668, 29.957, 29.957, 29.957, 29.167, 30.640, 30.806, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.200, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 44.599, 44.647, 46.348, 45.054, 45.054, 45.054, 43.946, 45.372, 45.468, 38.985, 39.724, 40.035, 40.202, 40.202, 40.202, 40.468, 40.656, 41.336, 41.090, 41.807, 42.053, 42.289, 42.289, 42.289, 42.609, 42.666, 43.426, 9.740, 9.682, 12.142, 10.023, 10.023, 10.023, 8.091, 10.463, 10.455, 29.170, 29.455, 30.549, 29.826, 29.826, 29.826, 29.038, 30.482, 30.658, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.300, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 44.521, 44.557, 46.252, 44.916, 44.916, 44.916, 43.838, 45.270, 45.402, 38.884, 39.625, 39.937, 40.089, 40.089, 40.089, 40.384, 40.559, 41.239, 40.959, 41.687, 41.949, 42.142, 42.142, 42.142, 42.504, 42.583, 43.332, 9.619, 9.557, 12.016, 9.898, 9.898, 9.898, 7.982, 10.340, 10.320, 29.057, 29.343, 30.437, 29.700, 29.700, 29.700, 28.909, 30.329, 30.515, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.400, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 44.449, 44.473, 46.163, 44.833, 44.833, 44.833, 43.724, 45.192, 45.312, 38.789, 39.529, 39.860, 39.986, 39.986, 39.986, 40.260, 40.443, 41.136, 40.849, 41.587, 41.860, 42.053, 42.053, 42.053, 42.373, 42.446, 43.227, 9.505, 9.460, 11.890, 9.779, 9.779, 9.779, 7.887, 10.222, 10.200, 28.947, 29.242, 30.326, 29.585, 29.585, 29.585, 28.792, 30.191, 30.385, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.500, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 44.347, 44.377, 46.049, 44.743, 44.743, 44.743, 43.640, 45.084, 45.156, 38.665, 39.411, 39.745, 39.902, 39.902, 39.902, 40.169, 40.349, 41.039, 40.744, 41.467, 41.739, 41.970, 41.970, 41.970, 42.268, 42.362, 43.106, 9.395, 9.357, 11.765, 9.673, 9.673, 9.673, 7.779, 10.105, 10.091, 28.844, 29.140, 30.226, 29.475, 29.475, 29.475, 28.677, 30.058, 30.260, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.600, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 44.221, 44.245, 45.935, 44.677, 44.677, 44.677, 43.562, 44.982, 45.078, 38.587, 39.327, 39.652, 39.807, 39.807, 39.807, 40.083, 40.264, 40.954, 40.665, 41.372, 41.645, 41.865, 41.865, 41.865, 42.174, 42.289, 43.033, 9.281, 9.242, 11.643, 9.565, 9.565, 9.565, 7.688, 9.987, 9.973, 28.744, 29.044, 30.122, 29.371, 29.371, 29.371, 28.563, 29.934, 30.140, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.700, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 44.144, 44.174, 45.839, 44.569, 44.569, 44.569, 43.425, 44.857, 45.012, 38.486, 39.261, 39.592, 39.716, 39.716, 39.716, 39.988, 40.169, 40.862, 40.545, 41.289, 41.587, 41.792, 41.792, 41.792, 42.059, 42.205, 42.933, 9.190, 9.144, 11.533, 9.455, 9.455, 9.455, 7.597, 9.877, 9.878, 28.647, 28.951, 30.025, 29.271, 29.271, 29.271, 28.456, 29.812, 30.026, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.800, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 44.030, 44.054, 45.713, 44.437, 44.437, 44.437, 43.353, 44.785, 44.910, 38.373, 39.172, 39.504, 39.617, 39.617, 39.617, 39.899, 40.070, 40.779, 40.430, 41.189, 41.488, 41.702, 41.702, 41.702, 41.970, 42.106, 42.839, 9.089, 9.053, 11.426, 9.357, 9.357, 9.357, 7.506, 9.769, 9.772, 28.552, 28.860, 29.926, 29.173, 29.173, 29.173, 28.355, 29.698, 29.918, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.900, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 43.934, 43.976, 45.599, 44.347, 44.347, 44.347, 43.275, 44.725, 44.839, 38.309, 39.069, 39.401, 39.524, 39.524, 39.524, 39.819, 39.988, 40.687, 40.361, 41.079, 41.388, 41.598, 41.598, 41.598, 41.881, 42.032, 42.745, 8.994, 8.967, 11.319, 9.255, 9.255, 9.255, 7.419, 9.665, 9.678, 28.462, 28.771, 29.833, 29.082, 29.082, 29.082, 28.253, 29.584, 29.811, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
