Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
12478.2930, 12478.29, -2.38, -1.19, 126.102, OUT, F2
12455.2285, 12455.23, 2.65, 0.00, 153.304, OUT, F0
12449.0234, 12449.02, 0.80, 5.58, 83.127, OUT, F1
12440.4619, 12440.46, -2.57, 0.00, 111.506, OUT, F1
12438.3887, 12438.39, 0.74, 3.68, 93.323, OUT, F1
12436.9717, 12436.97, -3.74, -2.49, 114.872, OUT, F2
12421.2031, 12421.20, -7.52, -0.54, 150.621, OUT, F0
12349.8125, 12349.81, -5.66, 0.00, 136.608, OUT, F0
12335.6416, 12335.64, 7.64, 1.70, 74.217, OUT, F0
12335.1191, 12335.12, 4.96, 0.55, 142.341, OUT, F2
12327.0654, 12327.07, 0.00, -4.88, 100.899, OUT, F2
12288.3262, 12288.33, 0.00, -1.19, 126.102, OUT, F2
12245.3311, 12245.33, 5.46, 0.55, 145.141, OUT, F1
12230.0254, 12230.03, -2.68, -2.68, 64.393, OUT, F1
12227.5156, 12227.52, -2.42, -3.63, 118.164, OUT, F0
12217.5771, 12217.58, 3.79, -4.55, 89.352, OUT, F2
12200.0186, 12200.02, -1.47, -2.21, 93.323, OUT, F1
12199.2031, 12199.20, -5.48, -2.19, 143.746, OUT, F1
12197.1250, 12197.13, -2.94, -5.15, 93.323, OUT, F2
12196.0303, 12196.03, -5.24, -0.58, 132.184, OUT, F0
12191.1289, 12191.13, 0.00, 2.04, 104.527, OUT, F2
12190.9033, 12190.90, -1.82, -4.24, 118.164, OUT, F0
12178.3584, 12178.36, 5.02, 5.73, 97.168, OUT, F0
12177.8340, 12177.83, 0.00, 2.95, 129.170, OUT, F1
12167.2002, 12167.20, 0.00, -3.13, 85.241, OUT, F1
12133.3457, 12133.35, -0.59, 0.59, 126.102, OUT, F1
12126.6309, 12126.63, -2.04, 2.72, 104.527, OUT, F2
12116.3760, 12116.38, -1.41, 4.95, 99.047, OUT, F2
12115.3965, 12115.40, 2.88, 1.73, 133.671, OUT, F1
12082.1992, 12082.20, -2.01, 5.36, 106.304, OUT, F1
12070.8076, 12070.81, -1.47, -5.15, 93.323, OUT, F2
12055.9697, 12055.97, 1.73, 2.31, 133.671, OUT, F1
12029.9336, 12029.93, 0.00, -6.25, 64.393, OUT, F1
12000.9336, 12000.93, 3.28, 1.09, 145.141, OUT, F1
11916.0078, 11916.01, -3.74, 3.74, 114.872, OUT, F2
11896.9053, 11896.91, 0.00, -1.28, 111.506, OUT, F1
11876.4512, 11876.45, -2.33, 1.75, 132.184, OUT, F0
11855.2031, 11855.20, 2.18, -0.55, 145.141, OUT, F1
11853.9531, 11853.95, -2.97, 4.76, 122.974, OUT, F0
11804.2031, 11804.20, 4.75, -0.59, 126.102, OUT, F2
11780.4717, 11780.47, -2.46, 1.23, 116.527, OUT, F1
11777.8340, 11777.83, -0.74, 4.42, 93.323, OUT, F2
11716.9922, 11716.99, 1.61, -0.54, 150.621, OUT, F0
11714.9893, 11714.99, 0.78, -6.27, 85.241, OUT, F1
11711.2676, 11711.27, 0.00, 2.72, 104.527, OUT, F2
11703.3760, 11703.38, 0.00, 0.00, 126.102, OUT, F2
