Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
9621.9102, 9621.91, 0.94, -2.82, 97.168, OUT, F1
9621.3135, 9621.31, -1.88, 3.29, 99.047, OUT, F2
9620.4326, 9620.43, -0.47, -4.70, 78.769, OUT, F1
9599.0596, 9599.06, 1.41, 0.94, 153.304, OUT, F1
9574.4521, 9574.45, 3.29, -0.94, 139.497, OUT, F0
9570.3721, 9570.37, -0.94, 3.29, 93.323, OUT, F2
9562.2451, 9562.25, 1.41, 0.00, 133.671, OUT, F2
9558.7783, 9558.78, 7.05, 0.00, 113.199, OUT, F1
9544.1631, 9544.16, -4.23, -3.29, 126.102, OUT, F0
9531.5664, 9531.57, -1.88, -4.23, 116.527, OUT, F0
9514.7666, 9514.77, -2.82, 4.70, 121.387, OUT, F0
9481.5791, 9481.58, -0.94, -3.29, 85.241, OUT, F1
9463.8135, 9463.81, 5.64, 4.70, 95.260, OUT, F0
9447.7031, 9447.70, 0.47, 4.23, 91.354, OUT, F1
9433.7529, 9433.75, -0.94, -2.35, 91.354, OUT, F1
9425.8887, 9425.89, 5.17, -2.35, 133.671, OUT, F2
9425.0820, 9425.08, 3.29, -4.70, 118.164, OUT, F1
9423.6855, 9423.69, -5.17, 3.76, 116.527, OUT, F0
9413.3994, 9413.40, -4.23, -1.41, 138.058, OUT, F2
9405.4414, 9405.44, -2.35, 3.76, 122.974, OUT, F1
9391.9043, 9391.90, 7.05, 2.35, 89.352, OUT, F0
9373.7891, 9373.79, -0.94, 3.76, 111.506, OUT, F0
9370.5859, 9370.59, 1.41, -0.94, 133.671, OUT, F2
9367.4453, 9367.45, -2.82, 0.47, 135.146, OUT, F0
9365.3105, 9365.31, 1.88, -4.23, 99.047, OUT, F2
9353.9512, 9353.95, 2.35, -3.76, 95.260, OUT, F0
9342.1289, 9342.13, 0.94, -5.17, 106.304, OUT, F0
9339.3877, 9339.39, 0.00, 1.88, 109.793, OUT, F2
9330.9248, 9330.92, 2.35, 4.23, 80.970, OUT, F2
9325.5283, 9325.53, 6.11, -3.76, 122.974, OUT, F1
9309.6543, 9309.65, -2.35, 0.47, 108.060, OUT, F1
9295.6641, 9295.66, -0.94, 0.00, 124.545, OUT, F2
9293.7148, 9293.71, 0.47, 2.35, 139.497, OUT, F0
9280.2871, 9280.29, -0.47, 5.64, 91.354, OUT, F1
9265.1826, 9265.18, 0.00, 3.29, 118.164, OUT, F1
9263.6514, 9263.65, 1.41, -0.94, 136.608, OUT, F1
9255.0332, 9255.03, -3.29, 1.88, 126.102, OUT, F0
9245.9258, 9245.93, 0.00, -1.88, 114.872, OUT, F2
9238.8125, 9238.81, 2.82, 0.00, 151.967, OUT, F0
9235.2813, 9235.28, -7.99, 0.94, 135.146, OUT, F0
9224.6006, 9224.60, -4.70, -4.23, 104.527, OUT, F2
9218.3711, 9218.37, 2.35, 6.11, 80.970, OUT, F2
9210.1758, 9210.18, -7.52, -0.47, 142.341, OUT, F2
9205.4180, 9205.42, -3.29, 0.00, 139.497, OUT, F0
9204.3418, 9204.34, -5.17, -1.88, 133.671, OUT, F2
9193.8516, 9193.85, -5.64, -3.76, 114.872, OUT, F2
9187.4893, 9187.49, 5.17, 0.00, 149.266, OUT, F1
9165.2002, 9165.20, 1.41, -4.23, 111.506, OUT, F0
9142.3096, 9142.31, 0.00, -2.35, 91.354, OUT, F1
9131.6582, 9131.66, -5.64, 1.41, 145.141, OUT, F1
9109.6426, 9109.64, -5.64, -4.70, 116.527, OUT, F0
9106.8613, 9106.86, -3.76, 5.17, 108.060, OUT, F1
9090.9639, 9090.96, -5.64, 1.88, 150.621, OUT, F2
9066.0967, 9066.10, -3.76, 0.00, 142.341, OUT, F2
9064.6240, 9064.62, 3.76, -4.23, 122.974, OUT, F1
9056.9717, 9056.97, 3.29, 0.94, 149.266, OUT, F1
9045.2041, 9045.20, 4.23, 2.35, 130.684, OUT, F0
9036.1729, 9036.17, -5.17, 4.23, 111.506, OUT, F0
9016.5303, 9016.53, 2.82, -4.70, 83.127, OUT, F0
9015.1182, 9015.12, -1.41, -4.23, 93.323, OUT, F2
9011.7090, 9011.71, -3.29, -5.64, 111.506, OUT, F0
9002.0918, 9002.09, -0.47, 3.29, 130.684, OUT, F0
8999.7324, 8999.73, 7.05, -0.47, 108.060, OUT, F1
8988.9180, 8988.92, -4.23, 3.76, 129.170, OUT, F2
8981.0176, 8981.02, 0.00, 0.00, 124.545, OUT, F2
8969.0742, 8969.07, 5.17, 0.47, 145.141, OUT, F1
8966.7539, 8966.75, 2.35, -0.47, 151.967, OUT, F0
8960.8379, 8960.84, -3.29, -0.94, 142.341, OUT, F2
8957.5928, 8957.59, 0.94, -4.70, 116.527, OUT, F0
8952.5195, 8952.52, 0.94, -1.88, 113.199, OUT, F1
8937.8223, 8937.82, -4.70, -3.29, 132.184, OUT, F1
8928.3486, 8928.35, -0.47, -3.76, 78.769, OUT, F1
8928.0928, 8928.09, -2.82, -5.17, 116.527, OUT, F0
8925.3965, 8925.40, 0.00, -1.41, 108.060, OUT, F1
8907.3447, 8907.34, -6.58, 2.35, 133.671, OUT, F2
8895.4287, 8895.43, 3.76, 1.41, 127.643, OUT, F1
8877.8477, 8877.85, 4.23, 0.00, 145.141, OUT, F1
8859.1787, 8859.18, -3.76, -0.47, 132.184, OUT, F1
