, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_Esophagus, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_CTV_bridge, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, DIBH_Medulla, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, PRV_SpinalCord, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, Lungs, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_Heart, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge, DIBH_PTV_bridge
2.000, 42.550, 42.718, 44.245, 43.149, 43.149, 43.149, 42.065, 43.730, 43.964, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 41.854, 42.488, 42.719, 43.043, 43.043, 43.043, 43.311, 43.473, 44.075, 39.551, 40.256, 40.511, 40.744, 40.744, 40.744, 41.016, 41.160, 41.781, 28.658, 28.913, 30.012, 29.331, 29.331, 29.331, 28.501, 30.092, 30.222, 9.047, 8.969, 11.565, 9.376, 9.376, 9.376, 7.384, 9.880, 9.857, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.100, 42.436, 42.586, 44.132, 43.035, 43.035, 43.035, 41.909, 43.604, 43.850, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 41.718, 42.410, 42.577, 42.907, 42.907, 42.907, 43.206, 43.384, 43.918, 39.428, 40.165, 40.373, 40.614, 40.614, 40.614, 40.911, 41.053, 41.645, 28.542, 28.805, 29.877, 29.203, 29.203, 29.203, 28.364, 29.931, 30.075, 8.924, 8.833, 11.439, 9.243, 9.243, 9.243, 7.274, 9.749, 9.733, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.200, 42.310, 42.478, 43.994, 42.933, 42.933, 42.933, 41.795, 43.473, 43.712, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 41.592, 42.263, 42.452, 42.834, 42.834, 42.834, 43.106, 43.284, 43.861, 39.316, 40.048, 40.297, 40.540, 40.540, 40.540, 40.827, 40.950, 41.554, 28.429, 28.696, 29.753, 29.083, 29.083, 29.083, 28.235, 29.781, 29.932, 8.805, 8.714, 11.296, 9.123, 9.123, 9.123, 7.167, 9.622, 9.616, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.300, 42.184, 42.370, 43.826, 42.766, 42.766, 42.766, 41.651, 43.359, 43.586, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 41.477, 42.169, 42.326, 42.724, 42.724, 42.724, 43.033, 43.174, 43.751, 39.217, 39.963, 40.176, 40.441, 40.441, 40.441, 40.724, 40.849, 41.445, 28.322, 28.594, 29.633, 28.962, 28.962, 28.962, 28.109, 29.635, 29.798, 8.685, 8.612, 11.170, 9.001, 9.001, 9.001, 7.065, 9.498, 9.494, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.400, 42.065, 42.238, 43.694, 42.658, 42.658, 42.658, 41.525, 43.215, 43.467, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 41.383, 42.064, 42.211, 42.609, 42.609, 42.609, 42.949, 43.096, 43.677, 39.106, 39.850, 40.085, 40.326, 40.326, 40.326, 40.643, 40.767, 41.358, 28.221, 28.497, 29.513, 28.851, 28.851, 28.851, 27.993, 29.494, 29.669, 8.575, 8.515, 11.048, 8.900, 8.900, 8.900, 6.969, 9.382, 9.376, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.500, 41.945, 42.130, 43.556, 42.556, 42.556, 42.556, 41.453, 43.095, 43.317, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 41.236, 41.985, 42.122, 42.530, 42.530, 42.530, 42.850, 43.012, 43.594, 39.007, 39.778, 39.994, 40.246, 40.246, 40.246, 40.540, 40.668, 41.270, 28.121, 28.400, 29.401, 28.744, 28.744, 28.744, 27.879, 29.361, 29.544, 8.472, 8.410, 10.940, 8.792, 8.792, 8.792, 6.872, 9.268, 9.258, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.600, 41.861, 42.017, 43.473, 42.442, 42.442, 42.442, 41.286, 42.987, 43.221, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 41.152, 41.875, 42.048, 42.452, 42.452, 42.452, 42.755, 42.918, 43.504, 38.935, 39.687, 39.918, 40.159, 40.159, 40.159, 40.429, 40.577, 41.187, 28.027, 28.309, 29.298, 28.641, 28.641, 28.641, 27.769, 29.234, 29.426, 8.363, 8.311, 10.828, 8.683, 8.683, 8.683, 6.778, 9.157, 9.167, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.700, 41.723, 41.855, 43.329, 42.340, 42.340, 42.340, 41.208, 42.897, 43.107, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 41.037, 41.771, 41.933, 42.368, 42.368, 42.368, 42.693, 42.844, 43.426, 38.842, 39.592, 39.831, 40.075, 40.075, 40.075, 40.349, 40.513, 41.115, 27.935, 28.220, 29.197, 28.546, 28.546, 28.546, 27.660, 29.114, 29.312, 8.279, 8.219, 10.700, 8.581, 8.581, 8.581, 6.691, 9.054, 9.061, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.800, 41.585, 41.735, 43.251, 42.202, 42.202, 42.202, 41.076, 42.772, 43.035, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 40.938, 41.687, 41.849, 42.289, 42.289, 42.289, 42.556, 42.755, 43.337, 38.741, 39.502, 39.759, 39.994, 39.994, 39.994, 40.244, 40.421, 41.031, 27.844, 28.134, 29.103, 28.447, 28.447, 28.447, 27.555, 29.000, 29.200, 8.189, 8.132, 10.593, 8.497, 8.497, 8.497, 6.608, 8.947, 8.965, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
2.900, 41.436, 41.675, 43.137, 42.089, 42.089, 42.089, 40.962, 42.640, 42.933, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 40.854, 41.603, 41.750, 42.200, 42.200, 42.200, 42.457, 42.661, 43.284, 38.653, 39.415, 39.691, 39.908, 39.908, 39.908, 40.151, 40.336, 40.971, 27.757, 28.048, 29.007, 28.354, 28.354, 28.354, 27.452, 28.887, 29.093, 8.094, 8.038, 10.485, 8.388, 8.388, 8.388, 6.532, 8.854, 8.871, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000, 100.000
