Dose [%], DIBH_CTV_bridge, DIBH_PTV_bridge, DIBH_Esophagus, DIBH_Heart, DIBH_Medulla, Lungs, PRV_SpinalCord
18.900, 100.000, 100.000, 33.679, 3.536, 35.862, 21.967, 33.959
19.000, 100.000, 100.000, 33.673, 3.514, 35.825, 21.944, 33.918
19.100, 100.000, 100.000, 33.631, 3.496, 35.773, 21.922, 33.879
19.200, 100.000, 100.000, 33.595, 3.482, 35.736, 21.901, 33.840
19.300, 100.000, 100.000, 33.595, 3.469, 35.684, 21.880, 33.796
19.400, 100.000, 100.000, 33.572, 3.454, 35.621, 21.860, 33.755
19.500, 100.000, 100.000, 33.572, 3.440, 35.568, 21.838, 33.716
19.600, 100.000, 100.000, 33.530, 3.427, 35.511, 21.817, 33.669
19.700, 100.000, 100.000, 33.506, 3.410, 35.485, 21.796, 33.627
19.800, 100.000, 100.000, 33.482, 3.396, 35.432, 21.775, 33.582
19.900, 100.000, 100.000, 33.458, 3.383, 35.375, 21.753, 33.541
20.000, 100.000, 100.000, 33.429, 3.370, 35.306, 21.733, 33.491
20.100, 100.000, 100.000, 33.387, 3.357, 35.249, 21.712, 33.452
20.200, 100.000, 100.000, 33.351, 3.343, 35.191, 21.690, 33.405
20.300, 100.000, 100.000, 33.333, 3.334, 35.144, 21.670, 33.353
20.400, 100.000, 100.000, 33.286, 3.325, 35.102, 21.651, 33.300
20.500, 100.000, 100.000, 33.280, 3.310, 35.039, 21.632, 33.226
20.600, 100.000, 100.000, 33.256, 3.297, 34.971, 21.611, 33.135
20.700, 100.000, 100.000, 33.238, 3.281, 34.898, 21.591, 33.054
20.800, 100.000, 100.000, 33.208, 3.265, 34.809, 21.571, 32.947
20.900, 100.000, 100.000, 33.173, 3.252, 34.709, 21.551, 32.850
21.000, 100.000, 100.000, 33.149, 3.244, 34.589, 21.531, 32.747
21.100, 100.000, 100.000, 33.119, 3.231, 34.447, 21.512, 32.618
21.200, 100.000, 100.000, 33.107, 3.221, 34.301, 21.494, 32.490
21.300, 100.000, 100.000, 33.083, 3.211, 34.107, 21.474, 32.286
21.400, 100.000, 100.000, 33.042, 3.199, 33.934, 21.454, 32.164
21.500, 100.000, 100.000, 32.988, 3.188, 33.704, 21.434, 32.000
21.600, 100.000, 100.000, 32.958, 3.177, 33.426, 21.415, 31.822
21.700, 100.000, 100.000, 32.911, 3.172, 33.227, 21.397, 31.657
21.800, 100.000, 100.000, 32.887, 3.156, 32.970, 21.378, 31.464
21.900, 100.000, 100.000, 32.875, 3.143, 32.745, 21.359, 31.262
22.000, 100.000, 100.000, 32.863, 3.130, 32.483, 21.338, 31.025
22.100, 100.000, 100.000, 32.833, 3.115, 32.211, 21.317, 30.751
22.200, 100.000, 100.000, 32.815, 3.100, 31.938, 21.297, 30.471
22.300, 100.000, 100.000, 32.780, 3.087, 31.687, 21.275, 30.219
22.400, 100.000, 100.000, 32.780, 3.074, 31.357, 21.253, 29.916
22.500, 100.000, 100.000, 32.744, 3.065, 31.001, 21.233, 29.659
22.600, 100.000, 100.000, 32.744, 3.056, 30.702, 21.210, 29.401
22.700, 100.000, 100.000, 32.720, 3.050, 30.351, 21.188, 29.121
22.800, 100.000, 100.000, 32.684, 3.036, 30.042, 21.163, 28.886
22.900, 100.000, 100.000, 32.660, 3.021, 29.733, 21.135, 28.618
23.000, 100.000, 100.000, 32.637, 3.010, 29.445, 21.111, 28.381
23.100, 100.000, 100.000, 32.631, 2.997, 29.188, 21.085, 28.165
23.200, 100.000, 100.000, 32.601, 2.984, 28.968, 21.063, 27.973
23.300, 100.000, 100.000, 32.565, 2.979, 28.717, 21.040, 27.761
23.400, 100.000, 100.000, 32.553, 2.970, 28.575, 21.018, 27.600
23.500, 100.000, 100.000, 32.518, 2.955, 28.366, 20.997, 27.436
23.600, 100.000, 100.000, 32.512, 2.945, 28.172, 20.975, 27.275
23.700, 100.000, 100.000, 32.482, 2.934, 28.009, 20.951, 27.124
23.800, 100.000, 100.000, 32.464, 2.922, 27.852, 20.930, 26.986
23.900, 100.000, 100.000, 32.440, 2.912, 27.690, 20.908, 26.836
24.000, 100.000, 100.000, 32.398, 2.898, 27.533, 20.888, 26.688
24.100, 100.000, 100.000, 32.369, 2.883, 27.397, 20.867, 26.545
24.200, 100.000, 100.000, 32.357, 2.871, 27.260, 20.846, 26.420
24.300, 100.000, 100.000, 32.339, 2.860, 27.093, 20.824, 26.286
24.400, 100.000, 100.000, 32.309, 2.851, 26.983, 20.802, 26.162
24.500, 100.000, 100.000, 32.291, 2.840, 26.888, 20.780, 26.041
24.600, 100.000, 100.000, 32.279, 2.833, 26.737, 20.758, 25.911
24.700, 100.000, 100.000, 32.262, 2.823, 26.621, 20.735, 25.771
24.800, 100.000, 100.000, 32.244, 2.814, 26.527, 20.716, 25.680
24.900, 100.000, 100.000, 32.232, 2.805, 26.433, 20.693, 25.552
25.000, 100.000, 100.000, 32.226, 2.797, 26.333, 20.672, 25.443
25.100, 100.000, 100.000, 32.178, 2.786, 26.239, 20.651, 25.319
25.200, 100.000, 100.000, 32.154, 2.776, 26.145, 20.631, 25.223
25.300, 100.000, 100.000, 32.142, 2.762, 26.082, 20.613, 25.126
25.400, 100.000, 100.000, 32.125, 2.753, 26.003, 20.593, 25.016
25.500, 100.000, 100.000, 32.095, 2.742, 25.883, 20.573, 24.913
25.600, 100.000, 100.000, 32.065, 2.730, 25.825, 20.555, 24.825
25.700, 100.000, 100.000, 32.047, 2.719, 25.757, 20.535, 24.726
25.800, 100.000, 100.000, 32.017, 2.710, 25.684, 20.517, 24.619
25.900, 100.000, 100.000, 31.988, 2.703, 25.600, 20.500, 24.512
26.000, 100.000, 100.000, 31.976, 2.692, 25.521, 20.483, 24.419
26.100, 100.000, 100.000, 31.958, 2.684, 25.448, 20.465, 24.341
26.200, 100.000, 100.000, 31.934, 2.672, 25.401, 20.447, 24.262
26.300, 100.000, 100.000, 31.886, 2.663, 25.343, 20.431, 24.186
26.400, 100.000, 100.000, 31.880, 2.650, 25.306, 20.416, 24.124
26.500, 100.000, 100.000, 31.857, 2.641, 25.238, 20.399, 24.030
26.600, 100.000, 100.000, 31.839, 2.633, 25.123, 20.384, 23.929
26.700, 100.000, 100.000, 31.809, 2.622, 25.086, 20.368, 23.865
26.800, 100.000, 100.000, 31.773, 2.614, 25.024, 20.352, 23.805
26.900, 100.000, 100.000, 31.743, 2.606, 24.976, 20.338, 23.749
27.000, 100.000, 100.000, 31.732, 2.595, 24.940, 20.322, 23.683
27.100, 100.000, 100.000, 31.708, 2.587, 24.872, 20.307, 23.591
27.200, 100.000, 100.000, 31.684, 2.578, 24.788, 20.293, 23.519
27.300, 100.000, 100.000, 31.648, 2.563, 24.751, 20.278, 23.465
27.400, 100.000, 100.000, 31.612, 2.554, 24.704, 20.264, 23.399
27.500, 100.000, 100.000, 31.589, 2.547, 24.652, 20.248, 23.337
27.600, 100.000, 100.000, 31.565, 2.537, 24.573, 20.235, 23.261
27.700, 100.000, 100.000, 31.529, 2.529, 24.505, 20.220, 23.189
27.800, 100.000, 100.000, 31.517, 2.519, 24.463, 20.206, 23.123
27.900, 100.000, 100.000, 31.487, 2.512, 24.405, 20.189, 23.067
28.000, 100.000, 100.000, 31.476, 2.502, 24.353, 20.173, 22.999
28.100, 100.000, 100.000, 31.452, 2.491, 24.311, 20.159, 22.940
28.200, 100.000, 100.000, 31.422, 2.483, 24.274, 20.144, 22.882
28.300, 100.000, 100.000, 31.404, 2.477, 24.217, 20.132, 22.828
28.400, 100.000, 100.000, 31.386, 2.469, 24.144, 20.118, 22.754
