Spot weight, MU count, T [cm], U [cm], Energy [MeV], Preabsorber, Field
10883.8320, 10883.83, -1.06, -5.31, 87.315, OUT, F2
10871.9941, 10871.99, -1.50, -2.51, 99.047, OUT, F2
10866.4150, 10866.42, 0.94, 0.00, 124.545, OUT, F2
10847.8125, 10847.81, -5.78, 0.00, 133.671, OUT, F0
10843.5176, 10843.52, 2.01, -2.51, 99.047, OUT, F1
10842.3535, 10842.35, -1.50, 3.01, 99.047, OUT, F2
10841.0215, 10841.02, -3.01, -2.51, 99.047, OUT, F1
10832.4932, 10832.49, -5.78, -1.93, 133.671, OUT, F0
10789.1426, 10789.14, 0.50, 1.98, 145.141, OUT, F0
10789.0742, 10789.07, -4.22, -2.34, 122.974, OUT, F1
10788.6641, 10788.66, 4.85, 5.92, 85.241, OUT, F0
10753.4004, 10753.40, -2.34, -2.34, 122.974, OUT, F2
10726.9668, 10726.97, 3.72, 5.31, 87.315, OUT, F2
10718.4668, 10718.47, 3.00, 0.50, 147.901, OUT, F0
10687.3740, 10687.37, 0.99, 1.49, 145.141, OUT, F1
10684.6621, 10684.66, -1.89, 2.36, 124.545, OUT, F1
10683.0918, 10683.09, -7.08, 1.42, 124.545, OUT, F1
10614.3145, 10614.31, 0.50, 3.51, 99.047, OUT, F2
10603.4951, 10603.50, -8.67, -0.48, 133.671, OUT, F0
10601.0449, 10601.04, 0.53, 4.25, 87.315, OUT, F1
10572.8301, 10572.83, -2.51, 5.01, 99.047, OUT, F1
10572.3359, 10572.34, 6.61, -0.47, 124.545, OUT, F1
10552.9531, 10552.95, 6.14, -1.42, 124.545, OUT, F1
10545.1934, 10545.19, -0.56, -5.60, 78.769, OUT, F1
10518.1846, 10518.18, 0.53, -1.06, 162.424, OUT, F0
10518.0615, 10518.06, 3.44, -0.98, 143.746, OUT, F1
10504.3604, 10504.36, -4.51, 2.51, 99.047, OUT, F0
10478.8701, 10478.87, -6.56, -3.75, 122.974, OUT, F0
10463.5605, 10463.56, -1.89, -3.30, 124.545, OUT, F0
10456.0078, 10456.01, -2.51, 2.51, 99.047, OUT, F2
10450.4717, 10450.47, 5.01, -2.51, 99.047, OUT, F0
10442.4512, 10442.45, 3.01, -4.51, 99.047, OUT, F1
10431.7324, 10431.73, 2.48, -0.50, 145.141, OUT, F1
10427.3848, 10427.38, -3.30, 1.42, 124.545, OUT, F1
10423.6553, 10423.66, 0.00, 5.31, 87.315, OUT, F1
10416.0313, 10416.03, 4.82, 0.00, 133.671, OUT, F2
10415.7031, 10415.70, 3.78, 0.00, 124.545, OUT, F2
